ADAUSD
ALGOUSD
ATOMUSD
AVAXUSD
BCHUSD
BNBUSD
BTCEUR
BTCUSD
DOGEUSD
DOTUSD
ETHUSD
LINKUSD
LTCUSD
MANAUSD
SOLUSD
TRXUSD
UNIUSD
XLMUSD
XMRUSD
XRPUSD
GASUSD
BNXUSD
CELRUSD
DASHUSD
ASTRUSD
FIDAUSD
GTREUR
ILVUSD
GTCUSD
CVXUSD
ETCUSD
ANKRUSD
